Epoch,Train_Loss,Val_MSE_Norm,Val_Real_MAE,LR
1,1.0084209541479747,1.0110355913639069,0.06660886108875275,1.0000000000000002e-06
2,1.0152455667654674,1.0140147805213928,0.06650463864207268,2.0000000000000003e-06
3,0.9755657215913137,1.0151646435260773,0.06643642112612724,3e-06
4,0.9921275277932485,1.01405930519104,0.06637789309024811,4.000000000000001e-06
5,1.0157105724016826,1.0205816328525543,0.06651375815272331,5e-06
6,0.9990631639957428,1.0187601447105408,0.06639451533555984,6e-06
7,0.9835839867591858,1.0189834833145142,0.06622964888811111,7.000000000000001e-06
8,0.9680714805920919,1.0261428952217102,0.06638075411319733,8.000000000000001e-06
9,1.017535885175069,1.0275171995162964,0.06644159182906151,9e-06
10,1.0081148544947307,1.0272454619407654,0.06645069643855095,1e-05
11,0.9944828848044077,1.0226134359836578,0.06638626381754875,1.1000000000000001e-05
12,0.9671634336312612,1.019788533449173,0.0663316510617733,1.2e-05
13,0.967751661936442,1.0187541544437408,0.06628689169883728,1.3000000000000001e-05
14,0.9633709092934927,1.0226720571517944,0.06632336601614952,1.4000000000000001e-05
15,0.9472630321979523,1.0216540396213531,0.06630780920386314,1.5e-05
16,0.9621131320794424,1.0155931115150452,0.06610069796442986,1.6000000000000003e-05
17,0.9548984865347544,1.000581681728363,0.06583591178059578,1.7000000000000003e-05
18,0.9055673579374949,1.0044419765472412,0.06577504798769951,1.8e-05
19,0.9048125048478445,1.0061497688293457,0.0657871849834919,1.9e-05
20,0.8716670672098795,0.9835498332977295,0.06525655463337898,2e-05
21,0.8670860826969147,0.9777085483074188,0.06495552882552147,2.1e-05
22,0.7693518201510111,0.9679267108440399,0.06473549455404282,2.2000000000000003e-05
23,0.7618527511755625,0.959698885679245,0.06472073867917061,2.3000000000000003e-05
24,0.6481413394212723,0.9519998729228973,0.06489361822605133,2.4e-05
25,0.6416028738021851,1.0074805915355682,0.06668717786669731,2.5e-05
26,0.5855056693156561,0.9461409151554108,0.06541478261351585,2.6000000000000002e-05
27,0.5240567674239477,0.9825915992259979,0.0658433698117733,2.7000000000000002e-05
28,0.4327507143219312,0.9570309221744537,0.06575404852628708,2.8000000000000003e-05
29,0.4056810637315114,0.9682618975639343,0.06602669879794121,2.9e-05
30,0.3874683181444804,0.9891968369483948,0.06643184274435043,3e-05
31,0.31481323142846424,0.9926402270793915,0.06663373485207558,3.1e-05
32,0.29150771349668503,0.9974981546401978,0.06689750403165817,3.2000000000000005e-05
