Epoch,Train_Loss,Val_MSE_Norm,Val_Real_MAE,LR
1,1.0291146337985992,1.0103768706321716,0.066612109541893,1.4999999999999998e-06
2,1.0232236484686534,1.0133119225502014,0.06650666147470474,2.9999999999999997e-06
3,0.9872040549914042,1.017524093389511,0.06644466519355774,4.499999999999999e-06
4,1.0083015660444896,1.0159828066825867,0.06637000665068626,5.999999999999999e-06
5,1.0192031065622966,1.0223612189292908,0.0665595792233944,7.499999999999999e-06
6,0.9981265664100647,1.0188649594783783,0.0663200207054615,8.999999999999999e-06
7,1.0136285722255707,1.0189871191978455,0.0662032812833786,1.05e-05
8,0.9746924340724945,1.0225941240787506,0.0662837065756321,1.1999999999999999e-05
9,1.0478009283542633,1.0254936814308167,0.06635604798793793,1.3499999999999998e-05
10,1.032816211382548,1.0264427363872528,0.06638896092772484,1.4999999999999999e-05
11,1.0369483729203541,1.0239611268043518,0.06634164229035378,1.6499999999999998e-05
12,0.9765939513842264,1.0231191217899323,0.06631170213222504,1.7999999999999997e-05
13,0.9850017726421356,1.024628072977066,0.0663464404642582,1.95e-05
14,1.0072188079357147,1.0264483094215393,0.06640404462814331,2.1e-05
15,0.9925138354301453,1.0254800617694855,0.06637517362833023,2.2499999999999998e-05
16,1.0149122873942058,1.025689274072647,0.06639795005321503,2.3999999999999997e-05
17,1.0238787333170574,1.021231323480606,0.06629839166998863,2.55e-05
18,0.9745318988958994,1.0183656215667725,0.06624225899577141,2.6999999999999996e-05
19,1.0018181304136913,1.0172772109508514,0.06622052565217018,2.8499999999999998e-05
20,0.9955898026625315,1.0165491700172424,0.06621180102229118,2.9999999999999997e-05
21,1.0213386714458466,1.0183983743190765,0.06625484302639961,3.149999999999999e-05
22,0.974335660537084,1.019996017217636,0.06630108505487442,3.2999999999999996e-05
23,1.0189711352189381,1.0173934698104858,0.06621621921658516,3.45e-05
24,0.9677579402923584,1.0180417895317078,0.066239845007658,3.5999999999999994e-05
25,1.0384670495986938,1.0150656700134277,0.06615127623081207,3.75e-05
26,1.021802395582199,1.0144520699977875,0.06611814722418785,3.9e-05
27,0.9941164255142212,1.0144331753253937,0.06611186638474464,4.05e-05
28,0.9723893105983734,1.0119654536247253,0.06604437530040741,4.2e-05
29,1.0002604524294536,1.0101920366287231,0.06598144769668579,4.3499999999999993e-05
30,0.9953018724918365,1.0108736455440521,0.0660063587129116,4.4999999999999996e-05
31,0.9201542139053345,1.0099383294582367,0.06597186997532845,4.65e-05
32,0.9525702198346456,1.0098164975643158,0.06594519689679146,4.7999999999999994e-05
33,0.9427477518717448,1.0075939893722534,0.06586278975009918,4.95e-05
34,0.9623511135578156,1.0043692290782928,0.06575733795762062,5.1e-05
35,0.9965284764766693,1.0013841390609741,0.06565092504024506,5.2499999999999995e-05
36,0.9993315835793813,0.9995887875556946,0.0655503086745739,5.399999999999999e-05
37,0.9471691846847534,0.9952466785907745,0.06539463624358177,5.5499999999999994e-05
38,1.0124379396438599,0.9938832819461823,0.06525762751698494,5.6999999999999996e-05
39,0.9535444378852844,0.9909091591835022,0.06508956849575043,5.85e-05
40,1.0122780700524647,0.985714465379715,0.0648479014635086,5.9999999999999995e-05
41,0.9847531020641327,0.9748111367225647,0.0644686259329319,6.149999999999999e-05
42,0.9500091075897217,0.9703394174575806,0.06422742456197739,6.299999999999999e-05
43,0.9620072344938914,0.9612424671649933,0.06389117613434792,6.45e-05
44,0.9814742902914683,0.9574942886829376,0.06378162279725075,6.599999999999999e-05
45,0.9850409428278605,0.9479290246963501,0.06340579129755497,6.75e-05
46,0.9082503318786621,0.9392537772655487,0.0630541443824768,6.9e-05
47,0.961834321419398,0.9294539988040924,0.06268368661403656,7.049999999999999e-05
48,0.9161891142527262,0.9218648672103882,0.06235709972679615,7.199999999999999e-05
49,0.9262927869955698,0.9154355525970459,0.062116337940096855,7.35e-05
50,0.9538209935029348,0.9142047464847565,0.06208701990544796,7.5e-05
51,0.964272270600001,0.9002121090888977,0.061386533081531525,7.649999999999999e-05
