epoch,train_loss,val_mse,val_mae,LR
1,1.7667169230324882,0.8310197494540051,0.646961079905922,0.0
2,1.7604200669697352,0.8315277099187279,0.647146836117266,5.000000000000001e-07
3,1.768357821873256,0.8315060286535516,0.6472714176914431,1.0000000000000002e-06
4,1.744117055620466,0.831406891606336,0.6469453052492494,1.5e-06
5,1.7814300400870187,0.8302662689857387,0.646909776645102,2.0000000000000003e-06
6,1.748639668737139,0.8289390632528119,0.6466016257751769,2.5e-06
7,1.756231699671064,0.8291298770846737,0.6465392765936901,3e-06
8,1.7812403270176478,0.8301573634331367,0.6470290875953607,3.5000000000000004e-06
9,1.792083808353969,0.8301740875282626,0.6470017054636016,4.000000000000001e-06
10,1.7547464200428553,0.8302170192108277,0.6469668981664244,4.5e-06
11,1.8273205246244157,0.8301080785610745,0.6468690875494763,5e-06
12,1.822464108467102,0.8304566598364158,0.646976701768962,5.500000000000001e-06
13,1.7989083869116647,0.8302327061246222,0.6469414711880385,6e-06
14,1.757704496383667,0.83035546355462,0.646876708472281,6.5000000000000004e-06
15,1.793309944016593,0.8305812287030037,0.6469126062016396,7.000000000000001e-06
16,1.7475428410938807,0.8304148963443759,0.646839732110645,7.5e-06
17,1.8267345428466797,0.830518320690152,0.6468637990744205,8.000000000000001e-06
18,1.7565210206168038,0.830473920978468,0.646787285469355,8.500000000000002e-06
19,1.7683656556265694,0.8303062918406143,0.646727796705694,9e-06
20,1.776149034500122,0.8304639131468174,0.6468063895144087,9.5e-06
21,1.7503413643155779,0.8303317596648228,0.6466893063255686,1e-05
22,1.741257871900286,0.8301723087683305,0.6465846154567315,1.05e-05
23,1.744332194328308,0.8301468687797937,0.6466207758096012,1.1000000000000001e-05
24,1.7791788578033447,0.830308633970336,0.6466807317284475,1.1500000000000002e-05
25,1.770652106830052,0.830025816889809,0.6465104055560583,1.2e-05
26,1.7521077735083443,0.8302015459055572,0.6466435302609451,1.25e-05
27,1.7719461747578211,0.8302565867104221,0.6466116478272248,1.3000000000000001e-05
28,1.7876960039138794,0.8303100109283987,0.6467136779689242,1.3500000000000001e-05
29,1.7555408307484217,0.830290250022006,0.646652693037911,1.4000000000000001e-05
30,1.7486028500965662,0.8300785176828839,0.6465906948279366,1.45e-05
31,1.7913122517721993,0.8304982445145215,0.646777790479699,1.5e-05
32,1.8143481527056013,0.8306802798227111,0.6469338871777549,1.55e-05
33,1.800426755632673,0.830183092368048,0.6467907942767938,1.6000000000000003e-05
34,1.7522833858217512,0.8301394357477728,0.6467888294414478,1.65e-05
35,1.7741568769727434,0.8301260011028904,0.6467508101498092,1.7000000000000003e-05
36,1.7393884658813477,0.830568943792386,0.6469434420746174,1.75e-05
37,1.7615914004189628,0.8302779708600596,0.6468933103325007,1.8e-05
38,1.7490148203713554,0.8300770118335589,0.6468489711331464,1.85e-05
39,1.7849207946232386,0.8303520751667174,0.64689248615457,1.9e-05
40,1.814083184514727,0.8301879578619189,0.6469145380577659,1.9500000000000003e-05
41,1.7619728190558297,0.8305020589092252,0.6470723753929862,2e-05
42,1.7872320754187447,0.8302795003091932,0.6469814138640771,2.05e-05
43,1.764771819114685,0.8303164624504317,0.6470888610695329,2.1e-05
